Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
36,CA-2023-100021,2023-03-28,2023-04-02,Standard Class,HL-10563,Donald Gonzalez,Corporate,United States,Buffalo,New York,14201,East,OFF-AR-10001152,Office Supplies,Art,BIC Acrylic Paint Set v2.8,20.8,1,0.15,3.67
37,CA-2024-100022,2024-10-26,2024-11-01,Standard Class,AR-10283,Mark Harris,Home Office,United States,Portland,Oregon,97201,West,TEC-PH-10001004,Technology,Phones,Wilson Jones Smartphone v12.2,315.54,2,0.0,78.88
38,CA-2024-100022,2024-10-26,2024-11-01,Standard Class,AR-10283,Mark Harris,Home Office,United States,Portland,Oregon,97201,West,TEC-PH-10001021,Technology,Phones,BIC Office Phone v10.3,1263.38,2,0.0,315.85
39,CA-2023-100023,2023-07-03,2023-07-08,Standard Class,HL-10512,Elizabeth Moore,Consumer,United States,Richmond,Virginia,23219,South,FUR-TA-10001388,Furniture,Tables,Avery Adjustable Standing Desk v7.7,1842.26,2,0.3,-736.9
40,CA-2023-100023,2023-07-03,2023-07-08,Standard Class,HL-10512,Elizabeth Moore,Consumer,United States,Richmond,Virginia,23219,South,FUR-FU-10001320,Furniture,Furnishings,Logitech Floor Mat v8.7,51.62,2,0.0,10.32
41,CA-2023-100023,2023-07-03,2023-07-08,Standard Class,HL-10512,Elizabeth Moore,Consumer,United States,Richmond,Virginia,23219,South,TEC-AC-10001030,Technology,Accessories,Samsung Webcam v7.5,82.37,1,0.2,0.0
42,CA-2023-100023,2023-07-03,2023-07-08,Standard Class,HL-10512,Elizabeth Moore,Consumer,United States,Richmond,Virginia,23219,South,OFF-AP-10001182,Office Supplies,Appliances,Wilson Jones Air Purifier v8.6,963.95,2,0.1,128.52
43,CA-2025-100024,2025-06-17,2025-06-17,Same Day,PL-10022,Nancy Rodriguez,Home Office,United States,Miami,Florida,33101,South,TEC-MA-10001068,Technology,Machines,Dell Laser Engraver v11.6,1428.51,1,0.0,171.42
44,CA-2025-100025,2025-06-15,2025-06-15,Same Day,JS-10556,Betty Miller,Consumer,United States,Denver,Colorado,80202,West,TEC-CO-10001095,Technology,Copiers,BIC High-Volume Color Copier v10.4,8609.66,1,0.0,3013.38
45,CA-2025-100026,2025-08-17,2025-08-19,Second Class,ZC-10614,Mark Robinson,Home Office,United States,Chicago,Illinois,60601,Central,OFF-EN-10001230,Office Supplies,Envelopes,Bush Self-Seal Envelopes v9.0,23.8,1,0.2,4.46
46,CA-2025-100027,2025-11-02,2025-11-10,Standard Class,JS-10190,Robert Lee,Corporate,United States,Charlotte,North Carolina,28202,South,FUR-TA-10001369,Furniture,Tables,Sauder Writing Desk v1.2,933.98,1,0.5,-896.62
47,CA-2025-100028,2025-03-04,2025-03-04,Same Day,JS-10700,Mark Gonzalez,Corporate,United States,Columbus,Ohio,43215,East,TEC-CO-10001078,Technology,Copiers,Global High-Volume Color Copier v3.7,4808.89,1,0.2,901.67
48,CA-2025-100028,2025-03-04,2025-03-04,Same Day,JS-10700,Mark Gonzalez,Corporate,United States,Columbus,Ohio,43215,East,FUR-CH-10001313,Furniture,Chairs-Ergonomic,HP Ergonomic Lumbar Support Chair v3.2,528.66,1,0.0,95.16
49,CA-2023-100029,2023-05-17,2023-05-19,Second Class,AR-10133,Nancy Clark,Home Office,United States,Los Angeles,California,90012,West,OFF-LA-10001248,Office Supplies,Labels,Canon Shipping Labels v8.3,23.01,1,0.0,8.05
50,CA-2025-100030,2025-03-06,2025-03-07,First Class,CH-10539,John Lee,Home Office,United States,Nashville,Tennessee,37201,South,FUR-CH-10001310,Furniture,Chairs-Ergonomic,BIC Active Sitting Stool v8.0,599.62,2,0.0,107.93
51,CA-2024-100031,2024-03-03,2024-03-03,Same Day,MD-10082,Joseph Smith,Corporate,United States,Detroit,Michigan,48201,Central,TEC-AC-10001031,Technology,Accessories,Canon Wireless Mouse v5.7,174.73,2,0.15,10.28
52,CA-2024-100031,2024-03-03,2024-03-03,Same Day,MD-10082,Joseph Smith,Corporate,United States,Detroit,Michigan,48201,Central,OFF-AP-10001184,Office Supplies,Appliances,Bush Microwave Oven v11.8,187.03,1,0.0,41.15
53,CA-2024-100032,2024-06-28,2024-07-03,Standard Class,HL-10752,Nancy White,Home Office,United States,Boston,Massachusetts,02108,East,OFF-PA-10001110,Office Supplies,Paper,Avery Premium Laser Paper v6.2,44.4,5,0.0,17.76
54,CA-2024-100033,2024-01-24,2024-01-28,Second Class,MD-10673,Thomas Robinson,Home Office,United States,Nashville,Tennessee,37201,South,TEC-CO-10001091,Technology,Copiers,Canon High-Volume Color Copier v2.3,5042.0,2,0.0,1764.7
55,CA-2024-100033,2024-01-24,2024-01-28,Second Class,MD-10673,Thomas Robinson,Home Office,United States,Nashville,Tennessee,37201,South,FUR-CH-10001285,Furniture,Chairs,Bush Fabric Drafting Chair v7.6,678.5,1,0.0,101.77
56,CA-2023-100034,2023-12-08,2023-12-08,Same Day,MD-10564,Jessica Thompson,Corporate,United States,Charlotte,North Carolina,28202,South,FUR-FU-10001336,Furniture,Furnishings,Hon Wastebasket v2.1,93.04,1,0.2,0.0
57,CA-2024-100035,2024-10-07,2024-10-09,First Class,HL-10333,Sandra Jackson,Consumer,United States,Austin,Texas,78701,Central,OFF-EN-10001220,Office Supplies,Envelopes,Apple Catalog Envelopes v7.9,16.11,1,0.2,3.02
58,CA-2024-100035,2024-10-07,2024-10-09,First Class,HL-10333,Sandra Jackson,Consumer,United States,Austin,Texas,78701,Central,FUR-TA-10001371,Furniture,Tables,Fellowes Training Table v2.5,897.58,1,0.2,-201.96
59,CA-2024-100036,2024-06-04,2024-06-04,Same Day,CH-10464,Charles Miller,Corporate,United States,Pittsburgh,Pennsylvania,15201,East,TEC-PH-10001000,Technology,Phones,Avery Conference Phone v12.7,650.04,2,0.4,-162.51
60,CA-2024-100036,2024-06-04,2024-06-04,Same Day,CH-10464,Charles Miller,Corporate,United States,Pittsburgh,Pennsylvania,15201,East,FUR-TA-10001371,Furniture,Tables,Fellowes Training Table v2.5,8975.84,10,0.2,-2019.56
61,CA-2024-100036,2024-06-04,2024-06-04,Same Day,CH-10464,Charles Miller,Corporate,United States,Pittsburgh,Pennsylvania,15201,East,TEC-PH-10001017,Technology,Phones,Apple Smartphone v4.3,732.86,1,0.2,45.8
62,CA-2024-100036,2024-06-04,2024-06-04,Same Day,CH-10464,Charles Miller,Corporate,United States,Pittsburgh,Pennsylvania,15201,East,OFF-AR-10001145,Office Supplies,Art,GBC Colored Pencils v1.0,43.47,3,0.0,13.04
63,CA-2025-100037,2025-11-13,2025-11-15,Second Class,KA-10586,David Harris,Corporate,United States,Columbus,Ohio,43215,East,OFF-AP-10001182,Office Supplies,Appliances,Wilson Jones Air Purifier v8.6,428.42,1,0.2,10.71
64,CA-2024-100038,2024-05-26,2024-06-01,Standard Class,CH-10308,Anthony Moore,Corporate,United States,Los Angeles,California,90012,West,OFF-PA-10001111,Office Supplies,Paper,BIC Recycled Copy Paper v7.1,104.0,2,0.1,34.66
65,CA-2025-100039,2025-09-15,2025-09-20,Standard Class,ZC-10707,Patricia White,Corporate,United States,Los Angeles,California,90012,West,FUR-CH-10001295,Furniture,Chairs-Ergonomic,Apple Active Sitting Stool v12.0,517.67,1,0.1,46.01
66,CA-2024-100040,2024-11-15,2024-11-15,Same Day,JS-10445,Elizabeth Gonzalez,Home Office,United States,San Francisco,California,94102,West,TEC-MA-10001061,Technology,Machines,BIC Binding Machine v2.1,6531.65,3,0.15,-230.53
67,CA-2024-100040,2024-11-15,2024-11-15,Same Day,JS-10445,Elizabeth Gonzalez,Home Office,United States,San Francisco,California,94102,West,OFF-PA-10001116,Office Supplies,Paper,Hon Multipurpose Cardstock v3.6,126.02,2,0.0,50.41
68,CA-2024-100040,2024-11-15,2024-11-15,Same Day,JS-10445,Elizabeth Gonzalez,Home Office,United States,San Francisco,California,94102,West,FUR-TA-10001382,Furniture,Tables,Dell Computer Desk v9.0,1047.86,1,0.2,-235.77
69,CA-2024-100040,2024-11-15,2024-11-15,Same Day,JS-10445,Elizabeth Gonzalez,Home Office,United States,San Francisco,California,94102,West,FUR-FU-10001334,Furniture,Furnishings,Sauder Wall Clock v6.0,124.32,1,0.0,24.86
70,CA-2024-100041,2024-10-31,2024-11-02,Second Class,HL-10227,Daniel Thompson,Corporate,United States,Atlanta,Georgia,30303,South,OFF-FA-10001201,Office Supplies,Fasteners,Smead Binder Clips v3.6,32.1,2,0.0,11.23
71,CA-2024-100041,2024-10-31,2024-11-02,Second Class,HL-10227,Daniel Thompson,Corporate,United States,Atlanta,Georgia,30303,South,OFF-EN-10001228,Office Supplies,Envelopes,Sauder Bubble Mailers v4.4,20.62,1,0.0,7.22
72,CA-2025-100042,2025-03-18,2025-03-24,Standard Class,JS-10345,Sandra Martin,Home Office,United States,Indianapolis,Indiana,46201,Central,TEC-AC-10001025,Technology,Accessories,Smead Wireless Mouse v11.4,200.22,1,0.0,40.04
73,CA-2025-100043,2025-03-27,2025-03-29,Second Class,KA-10793,Betty White,Corporate,United States,Seattle,Washington,98101,West,OFF-PA-10001101,Office Supplies,Paper,Canon Photo Paper v9.4,57.1,1,0.0,22.84
74,CA-2025-100044,2025-12-09,2025-12-11,First Class,PL-10074,William Miller,Home Office,United States,Minneapolis,Minnesota,55401,Central,FUR-CH-10001294,Furniture,Chairs,Samsung Mesh Task Chair v12.0,445.61,1,0.0,66.84
75,CA-2025-100045,2025-05-17,2025-05-19,First Class,JS-10196,Lisa Moore,Consumer,United States,Detroit,Michigan,48201,Central,TEC-PH-10001012,Technology,Phones,Global Conference Phone v10.3,1983.4,2,0.0,495.85
76,CA-2024-100046,2024-12-17,2024-12-20,Second Class,JS-10453,Susan Smith,Corporate,United States,Chicago,Illinois,60601,Central,OFF-BI-10001119,Office Supplies,Binders,Samsung Presentation Folder v10.7,103.42,1,0.2,32.32
77,CA-2023-100047,2023-06-25,2023-06-29,Second Class,MD-10056,David Taylor,Home Office,United States,Chicago,Illinois,60601,Central,OFF-AR-10001147,Office Supplies,Art,HP Watercolor Set v12.6,27.1,2,0.0,8.13
78,CA-2023-100047,2023-06-25,2023-06-29,Second Class,MD-10056,David Taylor,Home Office,United States,Chicago,Illinois,60601,Central,TEC-PH-10001007,Technology,Phones,Bush Smartphone v1.8,763.86,1,0.0,190.97
79,CA-2023-100047,2023-06-25,2023-06-29,Second Class,MD-10056,David Taylor,Home Office,United States,Chicago,Illinois,60601,Central,OFF-ST-10001175,Office Supplies,Storage,Wilson Jones Mobile Filing Cabinet v4.6,94.99,1,0.4,-34.82
80,CA-2024-100048,2024-06-13,2024-06-17,Second Class,PL-10638,Christopher Lopez,Consumer,United States,Nashville,Tennessee,37201,South,TEC-PH-10001009,Technology,Phones,Bush Office Phone v2.1,1191.46,2,0.0,297.87
81,CA-2024-100048,2024-06-13,2024-06-17,Second Class,PL-10638,Christopher Lopez,Consumer,United States,Nashville,Tennessee,37201,South,OFF-AP-10001192,Office Supplies,Appliances,Dell Microwave Oven v4.9,224.9,1,0.0,49.48
82,CA-2024-100049,2024-08-04,2024-08-05,First Class,ZC-10714,Sandra Davis,Consumer,United States,Cleveland,Ohio,44114,East,TEC-PH-10001004,Technology,Phones,Wilson Jones Smartphone v12.2,94.66,1,0.4,-23.67
83,CA-2023-100050,2023-02-09,2023-02-09,Same Day,PL-10665,Jane Jackson,Home Office,United States,Philadelphia,Pennsylvania,19104,East,OFF-FA-10001194,Office Supplies,Fasteners,Brother Push Pins v9.4,1.74,1,0.6,-1.08
84,CA-2024-100051,2024-10-08,2024-10-12,Standard Class,CH-10612,Daniel Garcia,Home Office,United States,Atlanta,Georgia,30303,South,OFF-EN-10001234,Office Supplies,Envelopes,Dell Self-Seal Envelopes v4.2,6.14,2,0.1,1.71
85,CA-2023-100052,2023-03-23,2023-03-25,First Class,KA-10543,Charles Lopez,Consumer,United States,Dallas,Texas,75201,Central,FUR-TA-10001381,Furniture,Tables,Brother Training Table v9.1,1523.35,1,0.2,-342.76
86,CA-2024-100053,2024-12-21,2024-12-25,Second Class,PL-10310,Christopher Gonzalez,Consumer,United States,Nashville,Tennessee,37201,South,TEC-AC-10001031,Technology,Accessories,Canon Wireless Mouse v5.7,174.73,2,0.15,10.28
87,CA-2024-100054,2024-07-27,2024-07-27,Same Day,MD-10350,Daniel Brown,Home Office,United States,Louisville,Kentucky,40202,South,TEC-AC-10001044,Technology,Accessories,Samsung USB-C Hub v6.9,190.3,1,0.2,0.0
88,CA-2024-100054,2024-07-27,2024-07-27,Same Day,MD-10350,Daniel Brown,Home Office,United States,Louisville,Kentucky,40202,South,FUR-TA-10001373,Furniture,Tables,Fellowes Computer Desk v7.1,1114.96,2,0.3,-445.98
89,CA-2024-100055,2024-04-10,2024-04-13,Second Class,HL-10587,William Martin,Corporate,United States,Miami,Florida,33101,South,FUR-CH-10001309,Furniture,Chairs-Ergonomic,Apple Active Sitting Stool v11.3,656.75,1,0.0,118.21
90,CA-2024-100055,2024-04-10,2024-04-13,Second Class,HL-10587,William Martin,Corporate,United States,Miami,Florida,33101,South,OFF-ST-10001168,Office Supplies,Storage,Brother Stacking Drawers v5.7,234.06,2,0.0,42.13
91,CA-2024-100055,2024-04-10,2024-04-13,Second Class,HL-10587,William Martin,Corporate,United States,Miami,Florida,33101,South,OFF-EN-10001229,Office Supplies,Envelopes,Samsung Catalog Envelopes v2.5,28.67,1,0.0,10.03
92,CA-2024-100055,2024-04-10,2024-04-13,Second Class,HL-10587,William Martin,Corporate,United States,Miami,Florida,33101,South,OFF-SU-10001277,Office Supplies,Supplies,Apple Tape Dispenser v1.9,102.22,2,0.15,-6.01
93,CA-2023-100056,2023-10-04,2023-10-08,Second Class,CH-10789,Richard Harris,Corporate,United States,Los Angeles,California,90012,West,TEC-CO-10001080,Technology,Copiers,Dell High-Volume Color Copier v8.9,1115.65,1,0.1,309.9
94,CA-2023-100056,2023-10-04,2023-10-08,Second Class,CH-10789,Richard Harris,Corporate,United States,Los Angeles,California,90012,West,OFF-ST-10001162,Office Supplies,Storage,GBC Mobile Filing Cabinet v11.6,39.43,1,0.1,3.51
95,CA-2023-100056,2023-10-04,2023-10-08,Second Class,CH-10789,Richard Harris,Corporate,United States,Los Angeles,California,90012,West,TEC-AC-10001034,Technology,Accessories,Logitech Wireless Mouse v6.8,41.4,1,0.0,8.28
96,CA-2023-100056,2023-10-04,2023-10-08,Second Class,CH-10789,Richard Harris,Corporate,United States,Los Angeles,California,90012,West,FUR-CH-10001285,Furniture,Chairs,Bush Fabric Drafting Chair v7.6,542.8,1,0.2,-33.93
97,CA-2025-100057,2025-04-22,2025-04-23,First Class,ZC-10764,Christopher Martin,Home Office,United States,Miami,Florida,33101,South,TEC-MA-10001054,Technology,Machines,Global Binding Machine v9.0,2210.28,1,0.1,49.11
98,CA-2025-100057,2025-04-22,2025-04-23,First Class,ZC-10764,Christopher Martin,Home Office,United States,Miami,Florida,33101,South,TEC-MA-10001067,Technology,Machines,Smead Binding Machine v8.3,4948.34,2,0.0,593.8
99,CA-2025-100058,2025-01-05,2025-01-05,Same Day,ZC-10799,Elizabeth Gonzalez,Home Office,United States,Phoenix,Arizona,85001,West,FUR-CH-10001309,Furniture,Chairs-Ergonomic,Apple Active Sitting Stool v11.3,656.75,1,0.0,118.21
100,CA-2025-100059,2025-10-03,2025-10-05,Second Class,CH-10168,Susan Clark,Home Office,United States,Philadelphia,Pennsylvania,19104,East,TEC-PH-10001007,Technology,Phones,Bush Smartphone v1.8,611.09,4,0.8,-1680.49
101,CA-2024-100060,2024-03-31,2024-04-02,Second Class,KA-10208,Betty Jackson,Consumer,United States,New York,New York,10001,East,OFF-EN-10001224,Office Supplies,Envelopes,Canon Security Tint Envelopes v2.4,83.7,3,0.0,29.3
102,CA-2024-100061,2024-05-20,2024-05-26,Standard Class,ZC-10795,Susan Johnson,Home Office,United States,Columbus,Ohio,43215,East,OFF-FA-10001201,Office Supplies,Fasteners,Smead Binder Clips v3.6,38.52,4,0.4,-3.21
103,CA-2024-100061,2024-05-20,2024-05-26,Standard Class,ZC-10795,Susan Johnson,Home Office,United States,Columbus,Ohio,43215,East,FUR-CH-10001313,Furniture,Chairs-Ergonomic,HP Ergonomic Lumbar Support Chair v3.2,317.2,1,0.4,-116.3
104,CA-2023-100062,2023-03-20,2023-03-20,Same Day,KA-10463,Charles Lee,Consumer,United States,Austin,Texas,78701,Central,TEC-PH-10001021,Technology,Phones,BIC Office Phone v10.3,505.35,1,0.2,31.58
105,CA-2023-100062,2023-03-20,2023-03-20,Same Day,KA-10463,Charles Lee,Consumer,United States,Austin,Texas,78701,Central,OFF-BI-10001125,Office Supplies,Binders,HP Clear Cove Binder v8.6,22.43,2,0.4,1.87
106,CA-2025-100063,2025-11-23,2025-11-26,Second Class,JS-10051,Mary Robinson,Corporate,United States,Buffalo,New York,14201,East,OFF-ST-10001155,Office Supplies,Storage,Brother Mobile Filing Cabinet v3.0,747.94,2,0.0,134.63
107,CA-2023-100064,2023-12-07,2023-12-13,Standard Class,CH-10628,Sarah Brown,Corporate,United States,Columbus,Ohio,43215,East,OFF-EN-10001231,Office Supplies,Envelopes,GBC Security Tint Envelopes v9.7,41.8,2,0.0,14.63
108,CA-2023-100064,2023-12-07,2023-12-13,Standard Class,CH-10628,Sarah Brown,Corporate,United States,Columbus,Ohio,43215,East,TEC-AC-10001046,Technology,Accessories,Smead USB-C Hub v12.7,97.04,2,0.8,-291.1
109,CA-2023-100065,2023-10-05,2023-10-05,Same Day,AR-10332,Karen Perez,Consumer,United States,Indianapolis,Indiana,46201,Central,OFF-EN-10001232,Office Supplies,Envelopes,Wilson Jones Security Tint Envelopes v5.1,27.05,2,0.1,7.51
110,CA-2023-100066,2023-07-04,2023-07-08,Second Class,ZC-10709,Betty Martinez,Home Office,United States,Los Angeles,California,90012,West,TEC-AC-10001046,Technology,Accessories,Smead USB-C Hub v12.7,485.18,2,0.0,97.04
111,CA-2023-100066,2023-07-04,2023-07-08,Second Class,ZC-10709,Betty Martinez,Home Office,United States,Los Angeles,California,90012,West,TEC-MA-10001058,Technology,Machines,Avery Laser Engraver v9.8,1665.7,1,0.1,37.01
112,CA-2025-100067,2025-11-13,2025-11-13,Same Day,PL-10164,Sandra Ramirez,Consumer,United States,Cleveland,Ohio,44114,East,TEC-PH-10001022,Technology,Phones,Global Wireless Handset v7.2,328.77,2,0.8,-904.11
113,CA-2023-100068,2023-11-04,2023-11-08,Second Class,TB-10149,Linda Miller,Corporate,United States,Charlotte,North Carolina,28202,South,OFF-ST-10001157,Office Supplies,Storage,Logitech Heavy Duty Shelving v1.6,307.68,1,0.1,27.35
114,CA-2025-100069,2025-07-02,2025-07-06,Standard Class,AR-10186,Jessica Smith,Corporate,United States,Chicago,Illinois,60601,Central,TEC-PH-10001001,Technology,Phones,Hon Office Phone v3.8,226.03,1,0.6,-197.77
115,CA-2025-100069,2025-07-02,2025-07-06,Standard Class,AR-10186,Jessica Smith,Corporate,United States,Chicago,Illinois,60601,Central,FUR-FU-10001318,Furniture,Furnishings,Dell Desk Lamp v7.9,77.57,1,0.0,15.51
